Longitude,Latitude,Property Name,Region,,Nearby Attraction,Activities,Property Type,RANGER Tagging,Event Based Tagging,Altitude
77.5596587,30.9650039,Apple Orchard stay by LivingStone,Kufri/Fagu,,,"Bonfire, Trek, Pets",,,,
73.3516634,18.8758314,LivingStone - Reflektions,Karjat,,,,,,,
76.9549409,30.8944155,LivingStone 2BHK Cozy Homestay in Kasauli Hills,Kasauli,,,"Bonfire, Trek, Pets",,,,
76.9903834,30.8984941,"LivingStone 2BHK Villa, Kasauli",Kasauli,,,"Bonfire, Trek, Pets",,,,
76.984317,30.9037636,LivingStone 3bhk cottage Kasauli,,,,,,,,
79.5389101,29.3731612,LivingStone 4 BHK Villa Bhimtal,,,,,,,,
77.3843016,31.6417617,LivingStone Backwater resort Tirthan Valley,Tirthan,,,,,,,
72.9273045,18.546249,LivingStone Beach House Alibaug,Alibaug,,,,,,,
79.5824337,29.3777041,"LivingStone Camping Site, Nainital",Bhimtal,,,,,,,
77.1764409,30.9728235,LivingStone Chail,Chail,,,,,,,
77.3525935,31.5898884,"LivingStone Countryside Camping, Jibhi",Tirthan,,,,,,,
77.1727246,31.0928865,LivingStone Dyerton Homes,Shimla,,,,,,,
77.250215,31.0345336,LivingStone Eco Resort Chail,Chail,,,,,,,
76.713103,32.028838,LivingStone Farm Stay Bir,Bir,,,,,,,
79.6038739,29.8446222,LivingStone Forest Cottage Kausani,,,,,,,,
79.5351653,29.3659158,LivingStone Hideaway Homes,,,,,,,,
77.1895999,32.2230944,LivingStone Hill View Resort Manali,,,,,,,,
79.676742,29.6576008,LivingStone Hillside Huts,,,,,,,,
77.3013533,31.0684957,LivingStone Hillswood Villa,Kufri/Fagu,,,,,,,
79.513931,29.3879845,LivingStone Hilltop Cottage,,,,,,,,
79.6628302,29.4314694,LivingStone Holiday Home,,,,,,,,
77.3574659,31.587394,LivingStone Homestay in Jibhi,,,,,,,,
79.5923188,29.324594,LivingStone Lake View Cottage,Naukachiatal,,,,,,,
76.324951,32.188919,"LivingStone Luxury Swiss Cottages, Dharamshala",Dharamshala,,,,,,,
77.1959008,32.2335754,LivingStone Manali,,,,,,,,
77.2291718,31.1269664,LivingStone Mashobra,Mashobra,,,,,,,
77.0608547,30.8824623,LivingStone Misty Mountain Resort,Kasauli,,,,,,,
77.2437335,30.9699947,LivingStone Mountain Retreat Chail,Chail,,,,,,,
77.3507271,31.599551,LivingStone Mud Houses Tirthan Valley,Tirthan,,,,,,,
77.4953287,31.1716762,LivingStone Ojuven Resort,Narkanda,,,,,,,
77.2425944,30.9707988,"LivingStone Ram Cottage, Chail",Chail,,,,,,,
77.5686264,31.7051864,LivingStone River Breeze Cottage,Tirthan,,,,,,,
77.3651765,31.6467483,LivingStone River View cottages,Tirthan,,,,,,,
76.7138359,32.0469288,LivingStone Riverside Camps Bir,BIr,,,,,,,
78.1325587,30.4000894,LivingStone Riverside Hills Resort,Dehradun,,,,,,,
77.2228863,31.7252894,LivingStone Riverside Resort Tirthan Valley,Tirthan,,,,,,,
79.5009051,29.6754388,LivingStone Snow Bliss Cottage,,,,,,,,
77.2165193,32.2264847,LivingStone Snow Region Campsite Manali,,,,,,,,
76.9482054,30.8875624,LivingStone Vacation Home Kasauli,Kasauli,,,,,,,
77.1469759,32.1388134,LivingStone Valley View Homestay Manali,,,,,,,,
77.0503661,30.9035563,LivingStone Villa Harrington,Kasauli,,,,,,,
77.4131783,31.6420574,LivingStone Village Stay Tirthan Valley,Tirthan,,,,,,,
76.9978622,30.8962699,"LivingStone Woods, Kasauli",Kasauli,,,,,,,
78.2503863,31.5370839,The Monk by LivingStone,Kalpa,,,,,,,
78.3009479,31.4168033,The Wanderer‰Ûªs Nest,Kalpa,,,,,,,
78.2544779,31.5484047,Wild Trails By LivingStone,Kalpa,,,,,,,
